id	effectiveTime	active	moduleId	refsetId	referencedComponentId	rangeConstraint	attributeRule	ruleStrengthId	contentTypeId
81288567-57a9-49b1-b7f0-bf5979a6d289	20170731	1	900000000000012004	723562003	405814001	<< 442083009 |Anatomical or acquired body structure (body structure)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 405814001 |Procedure site - Indirect| = << 442083009 |Anatomical or acquired body structure (body structure)| }	723597001	723596005
8163e3c0-b0c4-4c92-82e7-e93a23770b17	20230630	1	900000000000012004	723562003	246090004	<< 272379006 |Event (event)| OR << 363787002 |Observable entity (observable entity)| OR << 404684003 |Clinical finding (finding)| OR << 416698001 |Link assertion (link assertion)|	<< 413350009 |Finding with explicit context (situation)|: [0..*] { [0..1] 246090004 |Associated finding| = (<< 272379006 |Event (event)| OR << 363787002 |Observable entity (observable entity)| OR << 404684003 |Clinical finding (finding)| OR << 416698001 |Link assertion (link assertion)|) }	723597001	723595009
8a4b2de3-41cf-49a4-995e-9f80c71e0684	20200731	1	900000000000012004	723562003	732943007	< 105590001 |Substance (substance)|	<< 373873005 |Pharmaceutical / biologic product (product)|: [0..*] { [0..1] 732943007 |Has BoSS| = < 105590001 |Substance (substance)| }	723597001	723596005
903d4612-9e2e-4434-94e8-eaff214f4467	20170731	1	900000000000012004	723562003	425391005	<< 49062001 |Device (physical object)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 425391005 |Using access device| = << 49062001 |Device (physical object)| }	723597001	723596005
9883dd72-0fdc-47bf-89d0-4f206ca7800c	20210731	1	900000000000012004	723562003	363713009	<< 260245000 |Finding value (qualifier value)| OR << 263714004 |Colors (qualifier value)| OR << 308916002 |Environment or geographical location (environment / location)|	<< 404684003 |Clinical finding (finding)|: [0..*] { [0..1] 363713009 |Has interpretation| = (<< 260245000 |Finding value (qualifier value)| OR << 263714004 |Colors (qualifier value)| OR << 308916002 |Environment or geographical location (environment / location)|) }	723597001	723596005
9f31fae1-65e6-4ffd-9a0d-badeaf298a8f	20170731	1	900000000000012004	723562003	363700003	<< 49755003 |Morphologically abnormal structure (morphologic abnormality)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 363700003 |Direct morphology| = << 49755003 |Morphologically abnormal structure (morphologic abnormality)| }	723597001	723596005
a079f482-e7de-4fd8-b4f9-5c8b56798676	20220731	1	900000000000012004	723562003	363698007	<< 442083009 |Anatomical or acquired body structure (body structure)|	<< 404684003 |Clinical finding (finding)|: [0..*] { [0..1] 363698007 |Finding site| = << 442083009 |Anatomical or acquired body structure (body structure)| }	723597001	723596005
a107baf4-2724-4ef2-acd1-8f153ed31c21	20200731	1	900000000000012004	723562003	363714003	<< 108252007 |Laboratory procedure (procedure)| OR << 363787002 |Observable entity (observable entity)| OR << 386053000 |Evaluation procedure (procedure)|	<< 404684003 |Clinical finding (finding)|: [0..*] { [0..1] 363714003 |Interprets| = (<< 108252007 |Laboratory procedure (procedure)| OR << 363787002 |Observable entity (observable entity)| OR << 386053000 |Evaluation procedure (procedure)|) }	723597001	723596005
a229b0ce-3f21-48ee-8dbf-4e3e3f7e35c1	20170731	1	900000000000012004	723562003	405816004	<< 49755003 |Morphologically abnormal structure (morphologic abnormality)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..*] 405816004 |Procedure morphology| = << 49755003 |Morphologically abnormal structure (morphologic abnormality)| }	723597001	723596005
a552640a-76b4-4839-95d6-93ef42e9d149	20210731	1	900000000000012004	723562003	1142137007	dec(>#0..)	<< 373873005 |Pharmaceutical / biologic product (product)|: [0..*] { [0..1] 1142137007 |Has concentration strength denominator value| > #0 }	723597001	723596005
acea1259-1aea-4579-82d9-d18308ebb5d4	20170731	1	900000000000012004	723562003	260686004	<< 129264002 |Action (qualifier value)|	<< 71388002 |Procedure (procedure)|: [0..*] { [0..1] 260686004 |Method| = << 129264002 |Action (qualifier value)| }	723597001	723596005
adbbf064-83a0-4125-85a5-6409dc352888	20250501	1	900000000000012004	723562003	370130000	<< 118598001 |Property (qualifier value)|	(<< 363787002 |Observable entity (observable entity)|: [0..*] { [0..1] 370130000 |Property| = << 118598001 |Property (qualifier value)| }) OR (<< 386053000 |Evaluation procedure (procedure)|: [0..1] { [0..1] 370130000 |Property| = << 118598001 |Property (qualifier value)| })	723597001	723596005
ae16bb19-1389-403c-888d-ea81c9c13d4f	20230630	1	900000000000012004	723562003	363589002	<< 363787002 |Observable entity (observable entity)| OR << 71388002 |Procedure (procedure)|	<< 129125009 |Procedure with explicit context (situation)|: [0..*] { [0..1] 363589002 |Associated procedure| = (<< 363787002 |Observable entity (observable entity)| OR << 71388002 |Procedure (procedure)|) }	723597001	723595009
